Month,Description,Quantity
2010-12,WORLD WAR 2 GLIDERS ASSTD DESIGNS,5139
2011-01,MEDIUM CERAMIC TOP STORAGE JAR,74215
2011-02,EMPIRE DESIGN ROSETTE,3986
2011-03,JUMBO BAG RED RETROSPOT,4924
2011-04,WORLD WAR 2 GLIDERS ASSTD DESIGNS,10224
2011-05,SMALL POPCORN HOLDER,6730
2011-06,JUMBO BAG RED RETROSPOT,3529
2011-07,WORLD WAR 2 GLIDERS ASSTD DESIGNS,3600
2011-08,ASSORTED COLOUR BIRD ORNAMENT,6417
2011-09,JUMBO BAG RED RETROSPOT,4175
2011-10,WORLD WAR 2 GLIDERS ASSTD DESIGNS,8078
2011-11,RABBIT NIGHT LIGHT,12352
2011-12,"PAPER CRAFT , LITTLE BIRDIE",80995
